Subzone,PopMale,PopFemale
ADMIRALTY,6860,7060
AIRPORT ROAD,-,-
ALEXANDRA HILL,6630,6860
ALEXANDRA NORTH,1230,1400
ALJUNIED,19740,20250
ANAK BUKIT,10370,11500
ANCHORVALE,23700,24420
ANG MO KIO TOWN CENTRE,2260,2550
ANSON,-,-
BAHAR,-,-
BALESTIER,15670,16760
BANGKIT,11010,11260
BAYFRONT SUBZONE,-,-
BAYSHORE,3580,3870
BEDOK NORTH,39700,42140
BEDOK RESERVOIR,12480,12990
BEDOK SOUTH,22540,24160
BENCOOLEN,620,690
BENDEMEER,18240,19330
BENOI SECTOR,-,-
BIDADARI,-,-
BISHAN EAST,13420,14880
BOAT QUAY,70,60
BOON KENG,5630,6160
BOON LAY PLACE,15060,14270
BOON TECK,7210,7450
BOULEVARD,210,200
BRADDELL,4590,5210
BRAS BASAH,-,-
BRICKLAND,-,-
BRICKWORKS,9800,10020
BUGIS,440,450
BUKIT BATOK CENTRAL,13290,14000
BUKIT BATOK EAST,6290,6410
BUKIT BATOK SOUTH,7360,7570
BUKIT BATOK WEST,7300,7700
BUKIT HO SWEE,7050,7340
BUKIT MERAH,550,570
CAIRNHILL,1830,2060
CECIL,130,130
CENTRAL SUBZONE,410,470
CENTRAL WATER CATCHMENT,-,-
CHANGI AIRPORT,-,-
CHANGI BAY,-,-
CHANGI POINT,300,240
CHANGI WEST,660,650
CHATSWORTH,3190,3690
CHENG SAN,13480,14600
CHIN BEE,-,-
CHINA SQUARE,670,760
CHINATOWN,5040,5450
CHOA CHU KANG CENTRAL,11180,11340
CHOA CHU KANG NORTH,15860,16070
CHONG BOON,12860,13640
CITY HALL,-,-
CITY TERMINALS,-,-
CLARKE QUAY,70,50
CLEANTECH,-,-
CLEMENTI CENTRAL,6600,7400
CLEMENTI NORTH,13400,15410
CLEMENTI WEST,7310,7950
CLEMENTI WOODS,7660,8340
CLIFFORD PIER,-,-
COMMONWEALTH,3230,3770
COMPASSVALE,10170,10790
CONEY ISLAND,-,-
CORONATION ROAD,3050,3650
CRAWFORD,4630,3750
DAIRY FARM,3350,3590
DEFU INDUSTRIAL PARK,-,-
DEPOT ROAD,3090,3450
DHOBY GHAUT,160,160
DOVER,5260,5820
DUNEARN,1800,2150
EAST COAST,-,-
EVERTON PARK,3680,4120
FABER,2620,2740
FAJAR,13870,13950
FARRER COURT,2900,3280
FARRER PARK,1350,1310
FERNVALE,28860,29950
FLORA DRIVE,7200,7470
FOREST HILL,-,-
FORT CANNING,90,90
FRANKEL,16260,18230
GALI BATU,-,-
GARDEN,-,-
GEYLANG BAHRU,5620,5660
GEYLANG EAST,14540,15380
GHIM MOH,6470,7380
GOMBAK,4840,5090
GOODWOOD PARK,600,660
GREENWOOD PARK,-,-
GUILIN,6290,6650
GUL BASIN,-,-
GUL CIRCLE,-,-
HENDERSON HILL,6490,6830
HILLCREST,4170,5300
HILLVIEW,9290,10000
HOLLAND DRIVE,5760,6920
HOLLAND ROAD,4800,6040
HONG KAH,26650,27230
HONG KAH NORTH,13030,13120
HOUGANG CENTRAL,2350,2370
HOUGANG EAST,12110,12810
HOUGANG WEST,22410,23050
INSTITUTION HILL,1500,1650
INTERNATIONAL BUSINESS PARK,-,-
ISTANA NEGARA,-,-
JELEBU,15370,15940
JOO KOON,-,-
JOO SENG,4030,4120
JURONG GATEWAY,210,240
JURONG ISLAND AND BUKOM,-,-
JURONG PORT,-,-
JURONG RIVER,-,-
JURONG WEST CENTRAL,31810,31950
KAKI BUKIT,18210,18940
KALLANG BAHRU,-,-
KALLANG WAY,-,-
KAMPONG BUGIS,460,460
KAMPONG GLAM,80,40
KAMPONG JAVA,5140,5390
KAMPONG TIONG BAHRU,4440,4560
KAMPONG UBI,5890,5910
KANGKAR,15740,16540
KATONG,4440,4910
KEAT HONG,19010,19170
